location,size,total_sqft,bath,price,bhk,price_per_sqft
Crimson Layout,2 BHK,1230.0,2.0,57.0,2,46341.46341463415
Manjunath Nagar,5 Bedroom,1200.0,5.0,185.0,5,154166.66666666666
Kodichikkanahalli,2 BHK,1125.0,2.0,52.0,2,46222.22222222222
Hebbal,2 BHK,1100.0,2.0,54.0,2,49090.90909090909
Jigani,3 Bedroom,2400.0,3.0,149.0,3,62083.333333333336
Electronic City Phase II,3 BHK,1400.0,2.0,41.58,3,29700.0
Uttarahalli,7 Bedroom,1200.0,7.0,225.0,7,187500.0
Jakkur,3 BHK,1858.0,3.0,98.3,3,52906.35091496233
Adityanagar,1 Bedroom,1260.0,1.0,41.0,1,32539.68253968254
Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4,82152.97450424929
HSR Layout,2 BHK,1185.0,2.0,60.0,2,50632.91139240506
RMV 2nd Stage,2 Bedroom,1200.0,2.0,216.0,2,180000.0
Hennur,2 BHK,1255.0,2.0,58.0,2,46215.13944223108
Rajaji Nagar,4 BHK,3436.0,6.0,475.0,4,138242.1420256112
Kudlu Gate,3 BHK,1335.0,3.0,89.0,3,66666.66666666667
Dodda Nekkundi,3 BHK,1999.0,3.0,132.0,3,66033.01650825412
Kanaka Nagar,2 Bedroom,1200.0,2.0,125.0,2,104166.66666666667
Kundalahalli,3 BHK,1397.0,3.0,110.0,3,78740.15748031496
Jigani,10 Bedroom,1200.0,10.0,105.0,10,87500.0
Cooke Town,4 BHK,3950.0,4.0,450.0,4,113924.0506329114
Yelahanka New Town,2 Bedroom,1200.0,2.0,130.0,2,108333.33333333333
Chikka Tirupathi,3 Bedroom,1616.0,3.0,95.0,3,58787.12871287129
Banashankari Stage III,8 Bedroom,1200.0,7.0,350.0,8,291666.6666666667
Hanumantha Nagar,4 Bedroom,1270.0,2.0,175.0,4,137795.27559055117
Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,38.55,2,33815.78947368421
Kanakpura Road,1 BHK,525.0,1.0,30.0,1,57142.857142857145
Varthur,3 Bedroom,1200.0,2.0,98.0,3,81666.66666666667
Bagalakunte,1 Bedroom,700.0,1.0,162.0,1,231428.57142857142
Balagere,2 BHK,1205.47,2.0,81.0,2,67193.70867794304
T Dasarahalli,3 Bedroom,1200.0,3.0,130.0,3,108333.33333333333
Electronic City,3 BHK,1700.0,3.0,75.0,3,44117.64705882353
Thanisandra,5 Bedroom,750.0,4.0,62.0,5,82666.66666666667
Kanakpura Road,2 BHK,1090.0,2.0,54.54,2,50036.69724770642
Yeshwanthpur,4 BHK,3600.0,5.0,220.0,4,61111.11111111111
Kundalahalli,1 BHK,2400.0,1.0,650.0,1,270833.3333333333
Thanisandra,1 BHK,923.0,1.0,60.84,1,65915.49295774648
Muthurayya Swamy Layout,4 BHK,3595.0,6.0,360.0,4,100139.08205841447
Green Glen Layout,2 BHK,1050.0,2.0,48.0,2,45714.28571428572
Whitefield,2 BHK,1495.0,2.0,79.5,2,53177.25752508361
Narayanapura,3 BHK,1485.0,3.0,85.0,3,57239.05723905724
Dommasandra,3 BHK,1033.0,2.0,31.5,3,30493.707647628267
Electronic City,3 BHK,1400.0,2.0,48.0,3,34285.71428571428
Indira Nagar,1 Bedroom,500.0,1.0,70.0,1,140000.0
Sarjapur  Road,2 BHK,944.0,2.0,35.0,2,37076.27118644068
Whitefield,5 Bedroom,3250.0,5.0,290.0,5,89230.76923076923
Whitefield,2 BHK,1216.0,2.0,66.48,2,54671.052631578954
Thirumenahalli,2 BHK,1100.0,2.0,39.5,2,35909.09090909091
Thanisandra,3 BHK,1743.0,3.0,93.25,3,53499.713138267354
Yelahanka,2 BHK,1274.0,2.0,48.42,2,38006.27943485086
Lavelle Road,3 BHK,2500.0,3.0,425.0,3,170000.0
Mysore Road,3 BHK,1512.0,2.0,110.0,3,72751.32275132275
Dollars Colony,4 BHK,3100.0,5.0,385.0,4,124193.54838709677
Cox Town,3 BHK,1650.0,3.0,100.0,3,60606.06060606061
Doddathoguru,3 BHK,1875.0,3.0,55.0,3,29333.333333333332
Whitefield,3 BHK,1350.0,3.0,54.0,3,40000.0
Rajiv Gandhi Nagar,2 BHK,1219.0,2.0,40.0,2,32813.78178835111
Goraguntepalya,4 Bedroom,1200.0,4.0,150.0,4,125000.0
Sarjapura - Attibele Road,3 Bedroom,2400.0,3.0,85.0,3,35416.666666666664
Hormavu,2 BHK,1141.0,2.0,44.4,2,38913.23400525854
Anandapura,2 BHK,1151.0,2.0,43.1,2,37445.69939183319
Bommenahalli,3 Bedroom,832.0,3.0,77.0,3,92548.07692307692
Sarjapur  Road,2 BHK,915.0,2.0,38.0,2,41530.05464480874
Rajankunte,3 Bedroom,3259.0,3.0,270.0,3,82847.49923289352
Bannerghatta Road,2 BHK,1115.0,2.0,65.12,2,58403.5874439462
Thigalarapalya,3 BHK,2072.0,4.0,139.0,3,67084.94208494209
Kaggadasapura,2 BHK,1200.0,2.0,53.0,2,44166.666666666664
Singasandra,2 BHK,1300.0,2.0,65.0,2,50000.0
Bellandur,2 BHK,1457.0,2.0,85.0,2,58339.05284831846
Kannamangala,2 BHK,1262.0,2.0,55.0,2,43581.61648177496
BEML Layout,4 Bedroom,1196.0,3.0,150.0,4,125418.0602006689
Ananth Nagar,2 BHK,900.0,2.0,22.5,2,25000.0
Attibele,1 BHK,420.0,1.0,17.0,1,40476.19047619047
Kanakapura,2 BHK,1160.0,2.0,46.39,2,39991.379310344826
Kasavanhalli,2 BHK,1115.0,2.0,50.0,2,44843.04932735426
JP Nagar,3 BHK,1315.0,2.0,85.4,3,64942.96577946768
Babusapalaya,2 BHK,1500.0,2.0,57.0,2,38000.0
HSR Layout,2 BHK,1127.0,2.0,68.0,2,60337.17834960071
Kundalahalli,3 BHK,1397.0,3.0,104.0,3,74445.23979957051
Whitefield,2 BHK,1173.0,2.0,60.0,2,51150.895140664965
Sompura,2 BHK,1090.0,2.0,28.0,2,25688.07339449541
Sarjapur  Road,3 BHK,2720.0,5.0,210.0,3,77205.88235294117
Jakkur,2 BHK,1230.0,2.0,76.0,2,61788.617886178865
6th Block Rajaji Nagar,4 BHK,3200.0,3.0,190.0,4,59375.0
Sarjapur  Road,2 BHK,858.0,2.0,31.57,2,36794.8717948718
Talaghattapura,3 BHK,1868.0,3.0,121.0,3,64775.16059957173
Uttarahalli,3 BHK,1689.28,3.0,91.2,3,53987.4976321273
Vishwapriya Layout,4 BHK,600.0,3.0,73.0,4,121666.66666666667
Banashankari,3 BHK,1425.0,3.0,49.88,3,35003.508771929824
Subramanyapura,6 Bedroom,1200.0,6.0,170.0,6,141666.66666666666
Tindlu,2 Bedroom,1350.0,2.0,100.0,2,74074.07407407407
Channasandra,6 Bedroom,4200.0,6.0,180.0,6,42857.142857142855
Uttarahalli,3 BHK,1310.0,2.0,85.0,3,64885.49618320611
MLA Layout,2 BHK,970.0,2.0,40.0,2,41237.113402061856
Kundalahalli,3 BHK,1397.0,3.0,108.0,3,77308.51825340014
Sarjapur,2 BHK,1157.0,2.0,40.0,2,34572.169403630076
Kasavanhalli,2 BHK,1125.0,2.0,61.2,2,54400.0
Sonnenahalli,2 BHK,1157.0,2.0,42.0,2,36300.77787381158
Sarjapur  Road,2 BHK,1241.0,2.0,82.0,2,66075.7453666398
Binny Pete,1 BHK,660.0,1.0,62.0,1,93939.39393939394
Marathahalli,4 BHK,4000.0,4.0,220.0,4,55000.0
Rajiv Nagar,4 BHK,2340.0,4.0,148.0,4,63247.86324786325
Venkatadri Layout,1 BHK,596.0,1.0,42.0,1,70469.79865771811
Koramangala Industrial Layout,16 BHK,10000.0,16.0,550.0,16,55000.0
Kyalasanahalli,4 Bedroom,1200.0,4.0,110.0,4,91666.66666666667
Ambedkar Colony,3 BHK,1910.0,3.0,190.0,3,99476.43979057591
Brookefield,2 BHK,1139.0,2.0,80.0,2,70237.05004389815
Thigalarapalya,4 BHK,3122.0,5.0,225.0,4,72069.1864189622
Sarjapura - Attibele Road,2 BHK,1033.0,2.0,28.41,2,27502.42013552759
Yeshwanthpur,2 BHK,1168.0,2.0,64.08,2,54863.01369863014
Chandapura,2 BHK,877.0,2.0,42.0,2,47890.535917901936
Electronics City Phase 1,2 BHK,1340.0,2.0,75.0,2,55970.149253731346
B Narayanapura,3 BHK,1405.0,2.0,70.0,3,49822.064056939504
Siddapura,3 BHK,1800.0,3.0,65.0,3,36111.11111111111
 Devarabeesana Halli,3 BHK,1750.0,3.0,149.0,3,85142.85714285714
Motappa Layout,3 BHK,1360.0,2.0,65.0,3,47794.117647058825
Malleshwaram,3 Bedroom,675.0,2.0,148.0,3,219259.25925925927
Byrasandra,2 BHK,985.0,2.0,63.0,2,63959.390862944165
Victoria Layout,2 BHK,1300.0,2.0,129.0,2,99230.76923076923
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,81081.08108108108
Rustam Bagh Layout,3 BHK,1490.0,2.0,88.0,3,59060.402684563756
Byagadadhenahalli,2 BHK,620.0,1.0,25.0,2,40322.58064516129
Hormavu,2 BHK,1130.0,2.0,42.3,2,37433.62831858407
Yelachenahalli,2 BHK,1080.0,2.0,55.0,2,50925.92592592593
Singasandra,4 BHK,3126.0,4.0,120.0,4,38387.71593090211
Begur Road,3 BHK,1410.0,2.0,52.17,3,37000.0
Bommanahalli,3 BHK,1375.0,3.0,59.0,3,42909.09090909091
Hennur Road,3 BHK,1290.0,2.0,94.5,3,73255.81395348837
Hosa Road,3 BHK,1318.0,2.0,85.28,3,64704.0971168437
Electronic City,2 BHK,1128.0,2.0,68.0,2,60283.68794326241
Meenakunte,4 Bedroom,4428.0,4.0,255.0,4,57588.075880758806
Kanakpura Road,2 BHK,1051.0,2.0,56.74,2,53986.67935299715
Kengeri,3 Bedroom,3500.0,5.0,275.0,3,78571.42857142857
Kannamangala,4 Bedroom,2400.0,4.0,130.0,4,54166.666666666664
Yelahanka,2 BHK,1327.0,2.0,85.0,2,64054.257724189905
Thigalarapalya,4 BHK,2912.0,6.0,210.0,4,72115.38461538461
Basapura,2 BHK,1301.0,2.0,55.0,2,42275.172943889316
Thippasandra,1 BHK,650.0,1.0,30.0,1,46153.846153846156
Varthur,3 Bedroom,1200.0,3.0,67.75,3,56458.333333333336
Banagiri Nagar,3 BHK,1500.0,2.0,89.99,3,59993.333333333336
Kumara Park,4 Bedroom,2700.0,6.0,675.0,4,250000.0
Nagadevanahalli,4 Bedroom,1350.0,4.0,145.0,4,107407.4074074074
Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2,28880.0
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2,46656.50406504065
Jakkur,3 BHK,1819.18,3.0,160.0,3,87951.7145087347
Nagarbhavi,1 Bedroom,900.0,1.0,175.0,1,194444.44444444444
Hebbal,3 BHK,1355.0,3.0,83.87,3,61896.67896678967
Sarakki Nagar,3 BHK,2145.0,4.0,270.0,3,125874.12587412588
Malleshwaram,3 BHK,2475.0,4.0,300.0,3,121212.12121212122
Kaggadasapura,2 BHK,1118.0,2.0,30.0,2,26833.631484794274
Roopena Agrahara,1 BHK,910.0,1.0,42.0,1,46153.846153846156
Madiwala,3 BHK,1250.0,3.0,39.0,3,31200.0
Hosakerehalli,2 BHK,1304.0,2.0,100.0,2,76687.11656441719
Begur Road,3 BHK,1615.0,3.0,58.0,3,35913.312693498454
Sarjapur  Road,2 BHK,1400.0,2.0,68.0,2,48571.42857142857
CV Raman Nagar,2 BHK,1070.0,2.0,47.5,2,44392.52336448598
Hebbal,3 BHK,3500.0,3.0,395.0,3,112857.14285714286
Hoodi,2 BHK,1132.0,2.0,89.37,2,78948.76325088339
Rajarajeshwari Nagara,3 BHK,2000.0,3.0,85.0,3,42500.0
Hebbal,7 Bedroom,2400.0,5.0,550.0,7,229166.66666666666
Sector 2 HSR Layout,1 BHK,794.0,1.0,65.0,1,81863.9798488665
Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,43.59,2,39990.8256880734
Gottigere,3 BHK,1500.0,3.0,70.0,3,46666.666666666664
1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,109276.34774162214
Kanakpura Road,1 BHK,525.0,1.0,30.0,1,57142.857142857145
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,52501.72771250864
Whitefield,2 BHK,1269.0,2.0,75.0,2,59101.654846335696
KR Layout,4 Bedroom,4800.0,4.0,700.0,4,145833.33333333334
Kanakpura Road,2 BHK,1070.0,2.0,37.45,2,35000.0
Talaghattapura,2 BHK,1150.0,2.0,28.0,2,24347.82608695652
Marathahalli,2 BHK,1208.0,2.0,70.0,2,57947.01986754967
Ramamurthy Nagar,2 BHK,1185.0,2.0,45.5,2,38396.624472573836
Laggere,3 Bedroom,1200.0,3.0,130.0,3,108333.33333333333
Anekal,2 BHK,888.0,2.0,34.0,2,38288.28828828829
Chandapura,2 BHK,1015.0,2.0,25.88,2,25497.536945812808
Celebrity Paradise Layout,1 BHK,532.0,1.0,22.49,1,42274.436090225565
St Thomas Town,3 BHK,1060.0,3.0,62.0,3,58490.56603773585
Electronic City,1 BHK,700.0,1.0,35.0,1,50000.0
Ckikkakammana Halli,2 BHK,902.0,2.0,42.0,2,46563.19290465632
Banashankari 2nd Stage,6 Bedroom,600.0,3.0,95.0,6,158333.33333333334
Uttarahalli,2 BHK,1175.0,2.0,47.0,2,40000.0
Binny Pete,2 BHK,1365.0,2.0,122.0,2,89377.28937728937
Doddathoguru,2 BHK,984.0,2.0,51.0,2,51829.26829268293
Hebbal,4 Bedroom,2700.0,2.0,100.0,4,37037.03703703704
Jalahalli East,3 BHK,1475.0,3.0,96.0,3,65084.745762711864
Haralur Road,2 BHK,1300.0,2.0,79.0,2,60769.230769230766
5th Block Hbr Layout,5 Bedroom,1200.0,6.0,220.0,5,183333.33333333334
Babusapalaya,3 BHK,1453.0,2.0,43.59,3,30000.0
Munivenkatppa Layout,2 BHK,1550.0,2.0,160.0,2,103225.80645161291
Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3,57022.80912364946
Akshaya Nagar,4 Bedroom,1410.0,4.0,160.0,4,113475.17730496454
Yelahanka,4 Bedroom,4025.0,5.0,800.0,4,198757.76397515528
Murugeshpalya,3 BHK,1845.0,3.0,91.0,3,49322.49322493225
Sarjapura - Attibele Road,3 BHK,1676.0,3.0,52.0,3,31026.252983293554
Uttarahalli,2 BHK,1137.0,2.0,63.0,2,55408.970976253295
Electronic City,3 BHK,1360.0,2.0,70.5,3,51838.23529411765
Vijaya Bank Layout,3 BHK,1374.0,2.0,70.0,3,50946.14264919942
Judicial Layout,3 Bedroom,1700.0,3.0,155.0,3,91176.4705882353
Whitefield,5 Bedroom,3227.0,5.0,250.0,5,77471.33560582585
Ferrar Nagar,4 BHK,2145.0,4.0,125.0,4,58275.058275058276
Koramangala,4 Bedroom,2400.0,6.0,600.0,4,250000.0
Kasavanhalli,3 BHK,2170.0,3.0,151.0,3,69585.2534562212
Bank Of Baroda Colony,2 BHK,1080.0,2.0,55.0,2,50925.92592592593
Electronic City Phase II,3 BHK,1790.0,3.0,100.0,3,55865.9217877095
Doddathoguru,1 BHK,550.0,1.0,17.0,1,30909.090909090908
Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3,39992.12598425197
Somasundara Palya,2 BHK,1033.0,2.0,48.0,2,46466.602129719264
Kamala Nagar,2 Bedroom,1000.0,2.0,80.0,2,80000.0
Binny Pete,4 BHK,2940.0,6.0,280.0,4,95238.09523809524
Kumarapalli,2 BHK,1240.0,2.0,52.6,2,42419.354838709674
Kasturi Nagar,5 Bedroom,1650.0,5.0,450.0,5,272727.2727272727
Kambipura,2 BHK,883.0,2.0,39.0,2,44167.610419026045
Outer Ring Road East,3 BHK,1500.0,2.0,97.0,3,64666.666666666664
Marathahalli,3 BHK,1730.0,3.0,139.0,3,80346.82080924856
Kasavanhalli,3 BHK,1915.0,3.0,80.0,3,41775.45691906005
Whitefield,3 BHK,1545.0,3.0,79.0,3,51132.68608414239
Marenahalli,3 BHK,1865.0,4.0,140.0,3,75067.02412868633
Hebbal Kempapura,2 BHK,1150.0,2.0,40.0,2,34782.608695652176
HAL 3rd Stage,2 BHK,1200.0,2.0,49.0,2,40833.333333333336
Kengeri,2 BHK,963.0,2.0,40.0,2,41536.86396677051
Marsur,3 Bedroom,1200.0,3.0,120.0,3,100000.0
Basavangudi,4 BHK,2600.0,4.0,260.0,4,100000.0
Kaikondrahalli,4 BHK,1700.0,4.0,108.0,4,63529.41176470588
Lingadheeranahalli,3 BHK,1682.0,3.0,120.0,3,71343.6385255648
Yelahanka,3 BHK,1371.0,2.0,65.0,3,47410.649161196205
Hennur Road,2 BHK,901.0,2.0,49.5,2,54938.95671476138
Vishwapriya Layout,7 Bedroom,600.0,7.0,73.0,7,121666.66666666667
Ambalipura,3 BHK,1730.0,3.0,120.0,3,69364.16184971099
Konanakunte,4 Bedroom,1200.0,4.0,125.0,4,104166.66666666667
EPIP Zone,3 BHK,1500.0,3.0,102.0,3,68000.0
Sarjapur  Road,4 BHK,3785.0,6.0,280.0,4,73976.2219286658
Nagawara Junction,4 BHK,3500.0,4.0,245.0,4,70000.0
Lingarajapuram,2 BHK,1203.0,2.0,59.86,2,49758.93599334996
Horamavu Banaswadi,2 BHK,1357.0,2.0,54.0,2,39793.662490788505
Vasantha Vallabha Nagar,3 BHK,1600.0,3.0,76.0,3,47500.0
Yelahanka New Town,1 BHK,350.0,1.0,13.5,1,38571.42857142857
Varthur,3 BHK,1665.0,3.0,53.0,3,31831.83183183183
Ramamurthy Nagar,3 Bedroom,1400.0,3.0,200.0,3,142857.14285714287
Sarjapur  Road,1 BHK,835.0,1.0,46.95,1,56227.54491017964
Chandra Layout,2 Bedroom,815.0,3.0,160.0,2,196319.01840490798
Haralur Road,3 BHK,1444.0,2.0,80.0,3,55401.662049861494
Kanakapura,2 BHK,1277.0,2.0,55.0,2,43069.694596711044
Lingadheeranahalli,3 BHK,1521.0,3.0,94.71,3,62268.244575936886
Maithri Layout,2 BHK,1134.0,2.0,40.0,2,35273.36860670194
Vasanthapura,2 BHK,995.0,2.0,34.82,2,34994.97487437186
Old Madras Road,3 BHK,2760.0,5.0,157.0,3,56884.057971014496
Marathahalli,2 BHK,1325.0,1.0,92.0,2,69433.96226415095
Kothanur,6 Bedroom,4000.0,6.0,150.0,6,37500.0
Marathahalli,3 BHK,1525.0,3.0,90.0,3,59016.39344262295
Raja Rajeshwari Nagar 5th Stage,3 BHK,1320.0,2.0,73.0,3,55303.030303030304
Electronics City Phase 1,1 BHK,650.0,1.0,23.0,1,35384.61538461538
Old Airport Road,3 BHK,1858.0,2.0,167.0,3,89881.59311087191
Electronic City,2 BHK,1150.0,2.0,38.0,2,33043.47826086957
Electronic City Phase II,2 BHK,769.0,2.0,40.0,2,52015.604681404424
Electronic City,3 BHK,1571.0,3.0,105.0,3,66836.4099299809
Hennur Road,3 BHK,1445.0,3.0,86.56,3,59903.11418685121
Hosur Road,3 BHK,1590.0,2.0,135.0,3,84905.6603773585
Bommasandra,2 BHK,902.0,2.0,49.0,2,54323.72505543237
Sarjapur,3 Bedroom,2238.0,3.0,140.0,3,62555.85344057194
Electronic City,2 BHK,1090.0,2.0,31.49,2,28889.908256880735
Yelahanka,3 BHK,1712.0,3.0,82.0,3,47897.19626168224
Haralur Road,2 BHK,1088.0,2.0,68.0,2,62500.0
Somasundara Palya,3 BHK,1575.0,3.0,63.1,3,40063.49206349206
Nanjappa Garden,6 Bedroom,2150.0,6.0,205.0,6,95348.83720930232
Kundalahalli,3 BHK,1920.0,3.0,150.0,3,78125.0
Margondanahalli,2 Bedroom,1000.0,2.0,57.0,2,57000.0
Chennammana Kere,2 BHK,1100.0,2.0,56.1,2,51000.0
Electronic City,2 BHK,1089.0,2.0,45.0,2,41322.31404958678
Horamavu Agara,2 BHK,1106.0,2.0,43.09,2,38960.21699819168
Kengeri,2 BHK,927.0,2.0,37.0,2,39913.700107874865
Kanakpura Road,2 BHK,1339.0,2.0,58.0,2,43315.9073935773
Thanisandra,1 BHK,923.0,1.0,45.69,1,49501.62513542795
Sarjapur  Road,3 Bedroom,2900.0,3.0,285.0,3,98275.86206896552
Lakshminarayana Pura,2 BHK,1175.0,2.0,75.0,2,63829.78723404255
Thubarahalli,2 BHK,975.0,2.0,55.0,2,56410.256410256414
Hebbal,3 BHK,2400.0,4.0,180.0,3,75000.0
Subramanyapura,3 BHK,1330.0,3.0,72.0,3,54135.338345864664
Thanisandra,2 BHK,1183.0,2.0,59.74,2,50498.73203719358
Harlur,3 BHK,1758.0,3.0,133.0,3,75654.15244596131
Nagarbhavi,3 Bedroom,1200.0,3.0,265.0,3,220833.33333333334
Hebbal,3 BHK,1255.0,2.0,77.68,3,61896.41434262948
Nagadevanahalli,3 Bedroom,600.0,4.0,110.0,3,183333.33333333334
Pai Layout,2 BHK,1100.0,2.0,50.0,2,45454.545454545456
Ramamurthy Nagar,2 BHK,1170.0,2.0,46.8,2,40000.0
Vayunandana Layout,5 Bedroom,2400.0,5.0,120.0,5,50000.0
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,51.77,3,33836.60130718954
Hebbal,2 BHK,1420.0,2.0,107.0,2,75352.11267605633
Geetanjali Layout,4 Bedroom,1200.0,4.0,300.0,4,250000.0
7th Phase JP Nagar,6 Bedroom,1045.0,6.0,160.0,6,153110.04784688994
Kanakpura Road,3 BHK,1591.0,3.0,115.0,3,72281.58390949089
7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,71428.57142857143
Kenchenhalli,2 Bedroom,675.0,3.0,52.0,2,77037.03703703704
Hoodi,2 BHK,1055.0,2.0,57.63,2,54625.59241706161
Iblur Village,3 BHK,1918.0,3.0,129.0,3,67257.55995828989
Sarjapur  Road,2 BHK,1280.0,2.0,76.0,2,59375.0
Nagarbhavi,3 BHK,1560.0,3.0,66.0,3,42307.692307692305
Sarjapur  Road,2 BHK,1145.0,2.0,49.5,2,43231.44104803493
Talaghattapura,3 BHK,2106.0,3.0,126.0,3,59829.05982905983
"EPIP AREA, WHITEFIELD",3 BHK,1801.0,3.0,139.0,3,77179.34480843975
Seegehalli,5 Bedroom,1200.0,5.0,120.0,5,100000.0
Rajaji Nagar,2 BHK,1718.0,3.0,288.0,2,167636.78696158325
Whitefield,3 BHK,1306.0,3.0,54.65,3,41845.32924961715
Hebbal,2 BHK,1320.0,2.0,92.0,2,69696.9696969697
1st Stage Domlur,3 BHK,1350.0,2.0,65.0,3,48148.148148148146
"RMV extension stage 2, rmv extension",4 BHK,2990.0,4.0,324.0,4,108361.20401337792
Kalyan nagar,4 BHK,3800.0,5.0,300.0,4,78947.36842105263
Bannerghatta Road,3 BHK,1344.0,2.0,42.0,3,31250.0
Bannerghatta Road,3 BHK,1893.0,3.0,100.0,3,52826.20179609086
Chandapura,3 BHK,1107.0,2.0,43.0,3,38843.72177055104
R.T. Nagar,9 Bedroom,1200.0,10.0,180.0,9,150000.0
Lakshminarayana Pura,2 BHK,1190.0,2.0,75.0,2,63025.21008403361
Whitefield,2 BHK,1000.0,2.0,35.0,2,35000.0
Kalhalli,2 Bedroom,2400.0,2.0,160.0,2,66666.66666666667
Kumaraswami Layout,2 BHK,1000.0,2.0,48.5,2,48500.0
Jalahalli,3 BHK,2113.0,3.0,155.0,3,73355.41883577852
KR Puram,2 BHK,1100.0,2.0,46.0,2,41818.181818181816
Sector 2 HSR Layout,5 Bedroom,1200.0,4.0,160.0,5,133333.33333333334
Harlur,4 BHK,1884.0,4.0,120.0,4,63694.267515923566
Electronic City,2 BHK,1110.0,2.0,40.0,2,36036.036036036036
Kudlu,2 BHK,1027.0,2.0,43.0,2,41869.52288218111
Tavarekere,3 BHK,1250.0,3.0,40.0,3,32000.0
Sarjapur  Road,3 BHK,1470.0,3.0,62.0,3,42176.87074829932
Kamakshipalya,2 BHK,1150.0,2.0,75.0,2,65217.391304347824
Hadosiddapura,3 Bedroom,1200.0,3.0,165.0,3,137500.0
Kudlu Gate,1 BHK,703.0,1.0,52.0,1,73968.70554765292
Vijaya Bank Colony,3 BHK,1400.0,2.0,62.0,3,44285.71428571428
Bellandur,2 BHK,1195.0,2.0,51.0,2,42677.824267782424
Narayanapura,2 BHK,1302.0,2.0,69.1,2,53072.196620583716
Begur Road,3 BHK,1583.0,3.0,74.4,3,46999.36828806064
Kumarapalli,3 BHK,1488.0,2.0,60.0,3,40322.58064516129
Lakshmi Layout,4 Bedroom,600.0,5.0,85.0,4,141666.66666666666
Kammasandra,3 BHK,1385.0,2.0,34.63,3,25003.610108303248
Whitefield,4 BHK,3262.0,4.0,260.0,4,79705.7020232986
Electronic City,3 BHK,1600.0,3.0,104.0,3,65000.0
Old Airport Road,2 BHK,1150.0,2.0,90.0,2,78260.86956521739
Lakkasandra,9 Bedroom,4500.0,9.0,166.0,9,36888.88888888889
Sarjapur  Road,2 BHK,1263.0,2.0,78.0,2,61757.71971496437
KR Puram,7 Bedroom,1200.0,8.0,110.0,7,91666.66666666667
Kanakpura Road,2 BHK,1299.0,2.0,85.0,2,65434.94996150885
Banashankari,2 BHK,1330.0,2.0,78.0,2,58646.61654135338
Devanahalli,3 BHK,1282.0,2.0,52.43,3,40897.03588143526
"JP Nagar 8th Phase, ",3 BHK,1853.0,3.0,82.0,3,44252.563410685376
Kachanayakanahalli,2 BHK,861.0,2.0,35.0,2,40650.40650406504
Bannerghatta Road,3 BHK,1600.0,3.0,95.0,3,59375.0
Nagaraja Garden,2 BHK,1256.0,2.0,62.8,2,50000.0
Tejaswini Nagar,3 BHK,1390.0,2.0,80.0,3,57553.95683453237
Ashwath Nagar,3 BHK,1550.0,2.0,90.0,3,58064.51612903226
1 Annasandrapalya,11 Bedroom,1200.0,6.0,150.0,11,125000.0
Hebbal,2 BHK,919.0,2.0,49.0,2,53318.82480957563
Margondanahalli,3 Bedroom,1625.0,3.0,80.0,3,49230.769230769234
Gunjur,2 BHK,1195.0,2.0,44.0,2,36820.08368200837
Domlur,6 BHK,2400.0,4.0,600.0,6,250000.0
Yelenahalli,2 BHK,1159.0,2.0,60.0,2,51768.76617773943
Whitefield,3 BHK,1386.0,3.0,57.46,3,41457.431457431456
Harlur,2 BHK,1197.0,2.0,79.0,2,65998.32915622389
Old Airport Road,4 BHK,2690.0,4.0,191.0,4,71003.71747211897
Bommasandra,3 BHK,1295.0,2.0,50.28,3,38826.25482625483
Huskur,3 BHK,1310.0,2.0,37.83,3,28877.862595419847
Whitefield,2 BHK,1132.0,2.0,79.28,2,70035.33568904594
6th block Koramangala,3 BHK,2350.0,3.0,400.0,3,170212.7659574468
4th Block Koramangala,4 Bedroom,2400.0,4.0,500.0,4,208333.33333333334
Hebbal,3 BHK,1645.0,3.0,135.0,3,82066.86930091186
Whitefield,2 BHK,1200.0,2.0,45.84,2,38200.0
Whitefield,4 Bedroom,3000.0,4.0,330.0,4,110000.0
Marathahalli,3 BHK,1937.0,3.0,140.0,3,72276.71657201859
Doddathoguru,2 BHK,1015.0,2.0,33.5,2,33004.926108374384
Nagadevanahalli,2 BHK,1080.0,2.0,39.0,2,36111.11111111111
Kathriguppe,3 BHK,1350.0,2.0,80.99,3,59992.59259259259
Kengeri Satellite Town,3 BHK,1149.0,2.0,29.0,3,25239.338555265447
Kothanur,2 BHK,1185.0,2.0,59.0,2,49789.02953586498
Domlur,3 BHK,1720.0,3.0,135.0,3,78488.37209302325
Hebbal,3 BHK,2080.0,3.0,175.0,3,84134.61538461539
Tindlu,3 Bedroom,1500.0,3.0,87.0,3,58000.0
Yelahanka,3 BHK,1566.0,3.0,97.0,3,61941.25159642401
Rajaji Nagar,3 BHK,2386.0,3.0,334.0,3,139983.2355406538
KSRTC Layout,4 Bedroom,1500.0,4.0,110.0,4,73333.33333333333
